timestamp,power_watts
1768499199.1650026,30.268
1768499199.2675948,30.186
1768499199.3699152,40.369
1768499199.4723682,33.606
1768499199.5799735,40.345
1768499199.6865058,33.212
1768499199.7888205,45.413
1768499199.8911805,36.764
1768499199.9933896,36.271
1768499200.09579,43.767
1768499200.2028193,33.231
1768499200.3051617,49.151
1768499200.4074793,36.468
1768499200.5097296,38.792
1768499200.6120727,37.905
1768499200.7145405,45.806
1768499200.817945,34.1
1768499200.9201488,38.124
1768499201.0265172,44.456
1768499201.1289265,33.329
1768499201.2312884,40.861
1768499201.333584,40.838
1768499201.4359715,34.593
1768499201.53826,46.102
1768499201.640636,33.212
1768499201.7431564,43.767
1768499201.849371,38.124
1768499201.9518402,37.631
1768499202.0541716,41.699
1768499202.1566308,34.495
1768499202.258893,50.596
1768499202.3611903,37.039
1768499202.4634874,39.777
1768499202.5659173,42.118
1768499202.6684709,35.284
1768499202.7737136,46.762
1768499202.8762918,34.396
1768499202.978558,38.617
1768499203.0810957,45.932
1768499203.1835496,33.804
1768499203.2860882,46.326
1768499203.3883407,37.883
1768499203.4920156,36.172
1768499203.5984743,44.652
1768499203.7009132,34.1
1768499203.8033085,46.326
1768499203.9063656,36.743
1768499204.008807,39.087
1768499204.1111913,40.172
1768499204.2135215,35.58
1768499204.3158472,49.476
1768499204.4222577,36.074
1768499204.524556,40.172
1768499204.6270623,38.2
1768499204.729353,35.975
1768499204.8318374,48.659
1768499204.9341471,39.876
1768499205.037103,41.601
1768499205.1393461,34.495
1768499205.2453804,49.151
1768499205.347711,36.525
1768499205.4501042,37.927
1768499205.5525753,43.767
1768499205.6549876,33.804
1768499205.7572331,43.103
1768499205.8598046,39.459
1768499205.9622009,35.679
1768499206.0646036,47.675
1768499206.1709054,34.001
1768499206.2734232,48.393
1768499206.3759081,37.434
1768499206.4782681,44.088
1768499206.5806704,33.508
1768499206.6838548,48.728
1768499206.7864082,38.989
1768499206.8890378,41.231
1768499206.9938152,35.975
1768499207.0961344,47.97
1768499207.1987147,33.033
1768499207.3011844,43.865
1768499207.4037359,38.442
1768499207.5060315,35.876
1768499207.608396,46.467
1768499207.7109292,32.836
1768499207.8134282,42.709
1768499207.9200692,39.998
1768499208.0225387,34.889
1768499208.1250122,46.79
1768499208.2275786,33.329
1768499208.331404,39.383
1768499208.4337296,42.143
1768499208.5361927,34.791
1768499208.638533,52.169
1768499208.7438116,33.132
1768499208.8461215,41.946
1768499208.9486048,39.801
1768499209.050995,37.434
1768499209.153373,35.383
1768499209.2559726,49.122
1768499209.3581336,33.329
1768499209.4602666,42.216
1768499209.5624142,36.94
1768499209.667231,37.138
1768499209.7698288,40.345
1768499209.8722117,36.842
1768499209.9747202,40.172
1768499210.0770307,34.988
1768499210.1793747,38.102
1768499210.2817469,37.335
1768499210.3840911,36.82
1768499210.4865506,38.299
1768499210.5920868,35.067
1768499210.6944258,44.285
1768499210.7968168,36.447
1768499210.8991265,36.074
1768499211.0014825,39.557
1768499211.1038928,33.804
1768499211.206232,44.751
1768499211.3086004,33.705
1768499211.4110224,44.062
1768499211.5132833,32.934
1768499211.6186457,45.27
1768499211.721063,36.25
1768499211.8235006,38.792
1768499211.9258132,39.777
1768499212.0283165,34.692
1768499212.1311655,45.834
1768499212.2335014,32.934
1768499212.3357623,44.456
1768499212.4425256,38.124
1768499212.5449867,35.954
1768499212.6473377,43.3
1768499212.7508812,33.606
1768499212.8533409,45.806
1768499212.9557369,32.638
1768499213.0581903,50.006
1768499213.1606932,32.342
1768499213.2630978,45.834
1768499213.3682778,36.94
1768499213.4708376,39.406
1768499213.5733037,36.25
1768499213.6756139,37.138
1768499213.7782948,33.329
1768499213.8805428,44.285
1768499213.9829895,39.876
1768499214.0852463,34.791
1768499214.1874788,50.86
1768499214.2931771,38.025
1768499214.3954883,35.975
1768499214.497807,49.682
1768499214.6001246,34.791
1768499214.7024448,41.231
1768499214.804968,38.496
1768499214.9073076,37.236
1768499215.009697,42.118
1768499215.1120408,34.791
1768499215.2169871,50.793
1768499215.3192694,37.412
1768499215.4219036,38.595
1768499215.5243733,44.259
1768499215.6266778,33.705
1768499215.7289965,46.326
1768499215.8315465,37.708
1768499215.9339721,37.532
1768499216.0363085,45.61
1768499216.141075,33.329
1768499216.2435586,42.906
1768499216.3460155,40.467
1768499216.4486454,35.58
1768499216.5515735,48.561
1768499216.654086,33.606
1768499216.7564857,43.937
1768499216.8589787,34.791
1768499216.964777,45.959
1768499217.06711,43.741
1768499217.1707377,34.791
1768499217.2730682,45.315
1768499217.3753963,41.354
1768499217.4776862,35.362
1768499217.5799558,50.732
1768499217.6822631,33.409
1768499217.7846222,44.528
1768499217.8891423,33.31
1768499217.9914415,39.974
1768499218.0938573,45.145
1768499218.196144,42.61
1768499218.3000588,43.176
1768499218.4022713,34.791
1768499218.5045116,52.955
1768499218.6067007,37.729
1768499218.7088425,38.617
1768499218.8149614,39.777
1768499218.917398,37.236
1768499219.0196905,45.368
1768499219.121996,34.1
1768499219.22438,41.453
1768499219.3267713,44.626
1768499219.4297214,34.593
1768499219.5320435,50.989
1768499219.6373322,38.913
1768499219.7396255,37.434
1768499219.8418808,45.861
1768499219.9442284,33.902
1768499220.0465713,44.554
1768499220.1489072,38.496
1768499220.2511787,36.645
1768499220.3535144,45.861
1768499220.4559817,34.889
1768499220.562152,44.16
1768499220.6646218,33.132
1768499220.7669332,47.774
1768499220.8692675,38.223
1768499220.9715564,36.666
1768499221.0738928,46.003
1768499221.1763237,33.31
1768499221.2787092,39.702
1768499221.3809326,48.364
1768499221.488289,33.508
1768499221.5910017,40.345
1768499221.6934001,43.694
1768499221.7957094,35.383
1768499221.897975,50.86
1768499222.0003068,38.003
1768499222.1025095,36.645
1768499222.204704,46.593
1768499222.310861,33.804
1768499222.4132452,39.482
1768499222.5156906,33.902
1768499222.6189783,40.763
1768499222.7211447,46.424
1768499222.8234282,35.185
1768499222.9256675,50.528
1768499223.0278077,40.073
1768499223.1300113,36.842
1768499223.235717,49.053
1768499223.3383927,34.199
1768499223.4408362,42.216
1768499223.543136,40.172
1768499223.6454043,36.447
1768499223.747757,49.75
1768499223.8500795,34.1
1768499223.952402,34.692
1768499224.0552113,49.711
1768499224.1606774,38.814
1768499224.26298,38.814
1768499224.3652394,44.823
1768499224.4675484,34.297
1768499224.5698373,42.019
1768499224.6723423,41.503
1768499224.7747984,35.087
1768499224.87729,49.416
1768499224.979537,33.231
1768499225.0820491,39.974
1768499225.1877623,41.822
1768499225.290089,33.902
1768499225.3930511,45.145
1768499225.4953787,38.223
1768499225.597554,35.778
1768499225.7000396,46.762
1768499225.8062727,33.014
1768499225.9115574,39.777
1768499226.0154865,41.551
1768499226.1179051,34.889
1768499226.2201967,43.497
1768499226.3225431,40.369
1768499226.4250524,35.185
1768499226.5273843,52.236
1768499226.6296504,38.617
1768499226.735608,39.209
1768499226.837923,44.554
1768499226.941673,39.163
1768499227.0439227,36.349
1768499227.1460776,50.891
1768499227.2482228,38.989
1768499227.3505685,36.151
1768499227.4528549,52.169
1768499227.5593712,38.966
1768499227.6617613,38.124
1768499227.764054,46.523
1768499227.8663623,33.705
1768499227.9687395,38.595
1768499228.071083,46.369
1768499228.1734748,33.705
1768499228.275937,42.709
1768499228.3782248,48.266
1768499228.4846218,34.199
1768499228.586974,39.679
1768499228.6891987,48.098
1768499228.7916522,33.902
1768499228.8940015,40.172
1768499228.996371,42.192
1768499229.0986843,35.757
1768499229.200902,49.613
1768499229.3077717,40.664
1768499229.4106364,36.447
1768499229.5129445,49.908
1768499229.6151285,39.679
1768499229.7173865,38.025
1768499229.819728,48.757
1768499229.921944,34.297
1768499230.0253835,53.252
1768499230.1310313,34.297
