timestamp,power_watts
1768501804.434953,31.435
1768501804.5385487,36.447
1768501804.6462355,32.323
1768501804.748418,38.496
1768501804.8507655,43.446
1768501804.9529474,33.014
1768501805.0552468,39.853
1768501805.157452,36.525
1768501805.2597463,32.126
1768501805.3620002,47.774
1768501805.4642637,33.31
1768501805.5712354,42.585
1768501805.6734889,35.461
1768501805.7757065,36.82
1768501805.8780427,43.544
1768501805.980356,32.62
1768501806.082595,43.15
1768501806.184821,34.573
1768501806.2871242,39.163
1768501806.3893604,36.645
1768501806.491599,36.349
1768501806.5975642,44.528
1768501806.6998436,32.601
1768501806.8023152,43.497
1768501806.9045062,33.883
1768501807.0067468,42.093
1768501807.1089272,34.869
1768501807.2113495,39.754
1768501807.3136013,37.412
1768501807.4158454,36.229
1768501807.520941,43.544
1768501807.6232197,32.521
1768501807.7254415,43.347
1768501807.8277106,33.982
1768501807.9299242,39.337
1768501808.0324242,36.919
1768501808.1347141,36.919
1768501808.2369618,42.216
1768501808.3392563,32.718
1768501808.445477,43.937
1768501808.5476785,33.883
1768501808.6558144,42.487
1768501808.7579432,34.573
1768501808.860097,38.966
1768501808.962235,37.51
1768501809.064465,34.573
1768501809.1666083,43.544
1768501809.2721186,32.62
1768501809.3743792,42.782
1768501809.476562,33.587
1768501809.5788212,42.019
1768501809.6810474,35.757
1768501809.7833183,38.671
1768501809.8855708,37.905
1768501809.9878466,32.126
1768501810.0901284,46.664
1768501810.1923678,33.014
1768501810.2981193,43.471
1768501810.4002795,34.376
1768501810.502448,40.05
1768501810.604652,36.82
1768501810.7068536,32.126
1768501810.8090434,46.102
1768501810.911388,33.212
1768501811.0135949,43.347
1768501811.1157846,34.968
1768501811.2230942,38.693
1768501811.3253536,38.792
1768501811.4275978,32.126
1768501811.529898,46.692
1768501811.6321685,33.113
1768501811.7344143,39.482
1768501811.8367527,37.215
1768501811.9390163,36.229
1768501812.0413291,44.429
1768501812.1479204,32.916
1768501812.2501416,43.767
1768501812.3524745,34.672
1768501812.4547899,36.842
1768501812.5570726,41.33
1768501812.6592736,32.521
1768501812.7616396,43.471
1768501812.8645031,33.686
1768501812.966866,41.503
1768501813.072836,34.968
1768501813.1763215,39.557
1768501813.278553,38.102
1768501813.381906,39.459
1768501813.483967,32.225
