timestamp,power_watts
1768493003.1474493,41.699
1768493003.2511609,48.387
1768493003.3532872,43.274
1768493003.4554205,69.38
1768493003.5575716,100.702
1768493003.6674845,35.067
1768493003.7700284,51.517
1768493003.8725297,70.607
1768493003.9746368,97.496
1768493004.0768788,34.968
1768493004.1790648,62.752
1768493004.2811894,77.395
1768493004.3833992,85.175
1768493004.4855034,35.264
1768493004.5876758,64.671
1768493004.6899173,81.198
1768493004.79223,68.11
1768493004.8944266,36.525
1768493004.9965541,66.628
1768493005.0989084,81.295
1768493005.2012615,62.067
1768493005.3110838,39.36
1768493005.4139638,67.719
1768493005.5162928,90.619
1768493005.6183903,59.753
1768493005.7211611,40.05
1768493005.8233142,69.521
1768493005.9254246,88.814
1768493006.027561,56.358
1768493006.1297987,43.078
1768493006.2319052,69.282
1768493006.334686,99.283
1768493006.4369137,35.264
1768493006.5391867,51.615
1768493006.6412957,71.53
1768493006.7525544,34.573
1768493006.8560667,63.046
1768493006.9582546,76.957
1768493007.060346,89.663
1768493007.1624374,34.573
1768493007.26455,65.707
1768493007.3667889,81.681
1768493007.469014,78.03
1768493007.571113,35.461
1768493007.6732497,66.685
1768493007.7753904,86.84
1768493007.8775575,53.188
1768493007.9796891,41.306
1768493008.0818782,70.455
1768493008.184044,99.821
1768493008.2940886,42.167
1768493008.3969617,47.155
1768493008.4994018,72.169
1768493008.6016815,75.346
1768493008.70382,36.131
1768493008.8062172,68.445
1768493008.9083753,88.55
1768493009.010509,58.221
1768493009.1127267,41.231
1768493009.2149634,69.38
1768493009.3171816,96.319
1768493009.4193296,42.314
1768493009.5214272,47.352
1768493009.6238518,71.53
1768493009.7346928,100.054
1768493009.836829,34.771
1768493009.9389832,63.084
1768493010.0413563,77.15
1768493010.1434815,91.22
1768493010.2456598,34.771
1768493010.3478541,65.494
1768493010.4499872,78.859
1768493010.5521252,85.467
1768493010.6543038,35.067
1768493010.7563741,65.258
1768493010.858612,79.59
1768493010.9608305,84.264
1768493011.0629923,34.771
1768493011.1651363,64.612
1768493011.2673342,81.588
1768493011.3695815,78.81
1768493011.4718344,35.264
1768493011.5818884,66.489
1768493011.6840985,80.956
1768493011.786343,66.782
1768493011.888593,38.003
1768493011.9907815,68.445
1768493012.093062,91.008
1768493012.195224,60.145
1768493012.2973914,39.065
