timestamp,power_watts
1768491090.8505778,41.059
1768491090.954283,101.736
1768491091.0608926,66.081
1768491091.1632054,68.543
1768491091.265586,69.172
1768491091.3679533,67.55
1768491091.4703856,62.458
1768491091.5727506,66.139
1768491091.675088,64.417
1768491091.7774642,69.074
1768491091.8796961,66.041
1768491091.982073,63.672
1768491092.0843925,67.158
1768491092.193037,67.354
1768491092.295411,68.934
1768491092.397674,69.802
1768491092.4999769,68.291
1768491092.6021464,68.487
1768491092.7044897,66.88
1768491092.8068666,64.808
1768491092.9090967,64.123
1768491093.0113533,66.978
1768491093.1135008,67.411
1768491093.2157974,68.487
1768491093.318118,64.515
1768491093.4245782,67.802
1768491093.529158,66.375
1768491093.6314096,67.704
1768491093.7336876,67.076
1768491093.836489,68.487
1768491093.9389324,69.618
1768491094.041174,67.9
1768491094.1434963,68.347
1768491094.2457635,66.139
1768491094.3479028,65.142
1768491094.4499962,66.921
1768491094.552677,68.194
1768491094.658778,68.585
1768491094.766131,63.672
1768491094.8684816,68.487
1768491094.9707987,65.356
1768491095.0730577,67.76
1768491095.1754413,67.998
1768491095.277708,69.019
1768491095.3800585,68.725
1768491095.482438,67.802
1768491095.5917716,65.298
1768491095.6960444,67.06
1768491095.7981007,68.194
1768491095.900249,68.781
1768491096.0023646,66.041
1768491096.104537,66.669
1768491096.206731,64.515
1768491096.3087816,69.019
1768491096.4109414,69.466
1768491096.513098,66.041
1768491096.61522,69.857
1768491096.7194366,68.152
1768491096.8262002,66.334
1768491096.9286656,62.398
1768491097.0311096,66.334
1768491097.1334412,65.298
1768491097.2357373,68.543
1768491097.3379986,68.487
1768491097.4402916,65.044
1768491097.5427105,69.368
1768491097.6449525,66.334
1768491097.747147,69.564
1768491097.8493686,67.174
1768491097.9517212,70.542
1768491098.0607505,69.466
1768491098.1629586,69.172
1768491098.2651703,68.333
1768491098.3673377,65.926
1768491098.469614,67.509
1768491098.572119,66.041
1768491098.6743171,68.976
1768491098.7766411,65.592
1768491098.8789263,63.711
1768491098.9812589,67.844
1768491099.0834713,69.074
1768491099.1857808,69.368
1768491099.2954762,66.921
1768491099.3977344,68.976
1768491099.5000458,68.096
1768491099.6022346,68.054
1768491099.704416,67.019
1768491099.806705,63.496
1768491099.9089365,67.509
1768491100.011306,66.669
1768491100.113517,68.096
1768491100.2164204,67.9
1768491100.3188152,62.556
1768491100.429528,66.391
1768491100.5318768,67.55
1768491100.634603,70.303
1768491100.73703,65.258
1768491100.839381,71.183
1768491100.9419246,68.194
1768491101.044321,67.606
1768491101.1467574,66.726
1768491101.2490554,63.829
1768491101.35128,67.256
1768491101.457754,65.885
1768491101.5629363,69.564
1768491101.666065,64.3
1768491101.7682288,67.411
1768491101.8704245,67.844
1768491101.9726102,67.704
1768491102.074872,65.845
1768491102.1771882,70.934
1768491102.2794907,67.956
1768491102.3816397,69.019
1768491102.483855,65.062
1768491102.5926566,64.652
1768491102.6950407,67.117
1768491102.797403,65.788
1768491102.899767,67.606
1768491103.0019195,68.487
1768491103.1042318,63.34
1768491103.2063854,66.432
1768491103.30856,65.592
1768491103.410899,68.333
1768491103.513225,65.551
1768491103.6154861,69.129
1768491103.7177227,68.487
1768491103.8200352,68.04
1768491103.9239619,64.671
1768491104.0294008,66.921
1768491104.132194,67.606
1768491104.234552,66.767
1768491104.3367636,68.641
1768491104.4389832,62.241
1768491104.5411792,68.194
1768491104.6435688,64.181
1768491104.7460647,68.934
1768491104.8483193,66.963
1768491104.9506993,69.759
1768491105.0528643,68.738
1768491105.1620147,67.019
1768491105.264328,63.594
1768491105.3666384,66.669
1768491105.4687781,66.571
1768491105.5711286,66.628
1768491105.6735291,69.074
1768491105.7758694,63.182
1768491105.878316,68.781
1768491105.9806788,65.396
1768491106.0831184,70.694
1768491106.1853893,68.04
1768491106.2963862,72.063
1768491106.3988078,69.661
1768491106.5011551,67.117
1768491106.6035118,65.494
1768491106.7057815,64.319
1768491106.8081667,67.313
1768491106.9105043,66.628
1768491107.0127442,69.368
1768491107.1150157,64.808
1768491107.2244933,66.024
1768491107.3283942,68.152
1768491107.4306755,68.921
1768491107.5332458,68.879
1768491107.6356165,68.934
1768491107.737883,67.704
1768491107.8402905,66.571
1768491107.942689,63.672
1768491108.0451207,67.648
1768491108.1473615,65.551
1768491108.2567828,70.542
1768491108.3593042,66.081
1768491108.4616969,63.77
1768491108.5639148,64.866
1768491108.6661887,66.726
1768491108.7684708,69.814
1768491108.870682,67.998
1768491108.9728878,69.955
1768491109.075178,67.746
1768491109.1775293,66.081
1768491109.2801676,65.396
1768491109.382505,67.117
1768491109.4849463,66.571
