model,lambda,seed,epochs,accuracy,training_energy_kj,training_time_sec
mobilenetv2,0.0,0,100,83.4,98.10582785985065,2434.349352121353
mobilenetv2,1e-05,0,80,82.92,78.6716298309064,1961.3491644859314
mobilenetv2,0.0001,0,50,64.21,49.194980925956244,1230.1845045089722
mobilenetv2,0.001,0,25,62.11,24.625006683835505,613.7113664150238
resnet18,0.0,0,100,94.42,286.74593574440405,4263.0420553684235
resnet18,1e-05,0,80,94.26,229.4437142573409,3412.259290456772
resnet18,0.0001,0,50,81.47,143.49028730639483,2133.8258588314056
resnet18,0.001,0,25,82.62,71.82737252266955,1068.211784362793
