timestamp,power_watts
1768497234.8970964,30.186
1768497234.999355,42.61
1768497235.1061158,34.791
1768497235.208834,42.684
1768497235.3112013,37.927
1768497235.413588,34.593
1768497235.515939,41.157
1768497235.618558,33.231
1768497235.720959,40.05
1768497235.823511,33.606
1768497235.9310322,43.201
1768497236.0333118,31.947
1768497236.1356025,44.186
1768497236.2380233,31.534
1768497236.340324,39.974
1768497236.4428391,36.645
1768497236.5452206,35.087
1768497236.6475964,41.625
1768497236.7500353,37.335
1768497236.8557882,31.651
1768497236.9580507,39.087
1768497237.060406,36.229
1768497237.1637719,38.693
1768497237.2660396,34.08
1768497237.3683023,40.148
1768497237.4706352,37.215
1768497237.5729675,33.902
1768497237.6752934,44.456
1768497237.7809923,32.836
1768497237.8833904,44.357
1768497237.9858067,31.947
1768497238.0881314,40.739
1768497238.1906853,37.631
1768497238.2929554,34.495
1768497238.3952823,48.561
1768497238.4976542,36.271
1768497238.5999937,44.285
1768497238.706298,32.934
1768497238.80855,41.059
1768497238.9107983,44.652
1768497239.0130036,34.199
1768497239.1152258,46.129
1768497239.2174253,40.936
1768497239.3196816,34.495
1768497239.421887,47.97
1768497239.5241227,38.496
1768497239.6297767,36.172
1768497239.7321975,47.745
1768497239.8345108,40.467
1768497239.936833,35.778
1768497240.0392177,51.977
1768497240.1414664,37.905
1768497240.2438715,37.532
1768497240.346474,49.583
1768497240.4487689,35.757
1768497240.5540855,38.299
1768497240.656502,48.797
1768497240.7588742,39.307
1768497240.8612626,37.434
1768497240.963538,51.941
1768497241.066014,37.631
1768497241.1685517,38.89
1768497241.27083,47.479
1768497241.373122,34.988
1768497241.4763675,43.963
1768497241.5795498,42.636
1768497241.681954,35.264
1768497241.785522,51.677
1768497241.8877537,39.951
1768497241.9901595,35.56
1768497242.0925221,52.66
1768497242.1949117,34.297
1768497242.297205,43.471
1768497242.4026897,39.951
1768497242.5049007,36.645
1768497242.6072433,43.497
1768497242.7095473,34.396
1768497242.8119807,50.006
1768497242.9142623,36.623
1768497243.0165286,38.124
1768497243.1189668,39.534
1768497243.2213483,49.348
1768497243.32509,32.817
1768497243.4296324,38.89
1768497243.5320451,44.849
1768497243.6345158,33.508
1768497243.7368743,43.694
1768497243.839362,39.679
1768497243.9417377,34.396
1768497244.044046,46.593
1768497244.1464064,39.065
1768497244.2487602,35.876
1768497244.3535278,51.057
1768497244.4560254,33.132
1768497244.5583627,40.861
1768497244.660728,47.31
1768497244.7629776,33.902
1768497244.8652842,45.315
1768497244.9676743,38.989
1768497245.07007,36.447
1768497245.1724093,46.692
1768497245.277609,33.804
1768497245.3799844,44.554
1768497245.4823687,37.018
1768497245.5848234,39.58
1768497245.6870933,43.839
1768497245.7898858,34.495
1768497245.892356,43.398
1768497245.994544,39.876
1768497246.0968766,34.889
1768497246.2121804,49.515
1768497246.3143647,39.133
1768497246.4168046,35.087
1768497246.5192976,45.341
1768497246.6253195,33.329
1768497246.7278903,51.284
1768497246.830217,37.039
1768497246.9325333,46.719
1768497247.0347993,33.231
1768497247.137129,42.512
1768497247.2395203,41.33
1768497247.3417754,44.679
1768497247.4453151,38.792
1768497247.5498683,37.532
1768497247.652302,46.987
1768497247.754618,34.1
1768497247.8570416,47.212
1768497247.9594963,39.33
1768497248.061821,38.025
1768497248.1641815,43.373
1768497248.2664707,34.199
1768497248.3688853,50.339
1768497248.474247,33.212
1768497248.576659,45.118
1768497248.679,37.434
1768497248.7813952,37.828
1768497248.883779,44.062
1768497248.9861562,33.033
1768497249.0885959,47.675
1768497249.1910262,35.933
1768497249.2933345,39.777
1768497249.399476,43.891
1768497249.5019228,34.001
1768497249.6041772,49.848
1768497249.7070794,32.638
1768497249.809845,40.96
1768497249.912221,42.118
1768497250.0144658,35.087
1768497250.1168532,46.129
1768497250.2230434,34.001
1768497250.3255126,45.538
1768497250.4291577,33.508
1768497250.5316184,49.348
1768497250.6340485,35.461
1768497250.7363422,41.822
1768497250.8390102,40.369
1768497250.9413936,34.791
1768497251.0472202,42.093
1768497251.1497886,33.428
1768497251.2521534,39.58
1768497251.35462,41.428
1768497251.4571164,33.705
1768497251.5596237,46.326
1768497251.6619465,38.936
1768497251.7645326,48.433
1768497251.8667948,33.606
1768497251.9719863,39.58
1768497252.0743675,39.777
1768497252.1767726,35.185
1768497252.2791388,52.366
1768497252.3818703,38.2
1768497252.484533,38.595
1768497252.5870638,46.102
1768497252.6894898,34.889
1768497252.7962906,48.393
1768497252.8986838,41.059
1768497253.0011125,35.284
1768497253.1033792,53.218
1768497253.2058282,39.725
1768497253.3081422,36.349
1768497253.4104795,50.241
1768497253.5128782,33.686
1768497253.6199706,40.148
1768497253.722399,45.046
1768497253.824922,34.889
1768497253.927286,45.243
1768497254.029897,39.557
1768497254.132221,37.138
1768497254.2368338,45.708
1768497254.343793,33.212
1768497254.4467862,38.89
1768497254.5491033,44.823
1768497254.6515503,34.001
1768497254.7537835,43.989
1768497254.8561234,39.754
1768497254.9584827,35.658
1768497255.0607922,49.908
1768497255.1676557,33.014
1768497255.2700574,49.544
1768497255.372526,35.856
1768497255.4748266,37.828
1768497255.5771034,44.088
1768497255.6796155,34.001
1768497255.7820325,39.087
1768497255.8843405,35.461
1768497255.9866376,49.318
1768497256.0922403,33.212
1768497256.1946387,45.243
1768497256.2972732,38.617
1768497256.399719,38.025
1768497256.502078,37.949
1768497256.6044812,38.223
1768497256.706866,32.342
1768497256.8093855,47.479
1768497256.9159415,33.508
